time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.849209755533019e-08,6.564432038341404e-07,10.004421350769437,0.000500984902406465,5.455614414984211e-05,0.0,-4.655123363491791e-06,5.330511570788607e-05,0.147369990148678,0.021277059613020916,0.002668613421770693,0.0,451.9975720688048,452.212527072841,450.39501025010236,452.1121762657858
0.12000000000000001,-1.8435580885620784e-06,1.7807697138593995e-05,10.014393799637851,0.0018975118306325811,6.2831018904457885,0.0,-5.855900157035521e-05,0.0006426595588867028,0.18503912975145917,0.026998941437654633,-0.014771012067973967,0.0,418.1718400141691,416.6502232147974,415.70563591873105,416.2067241406652
0.18,2.680405190937235e-07,0.00010763976976190494,10.031214497704319,0.0032516348790041505,6.282367452144385,0.0,0.00022197668428734026,0.0025255154265361197,0.3756064243432546,0.011778864146493869,-0.00760758526459543,0.0,464.8328273126318,465.393880517473,465.0939271470944,463.9005556934927
0.23999999999999996,3.1710805426064676e-05,0.00032676869088604603,10.056079459305689,0.003949089306616749,6.281703794191243,0.0,0.0008802834322829538,0.0048479772194916435,0.45319721313590877,0.011313190206932115,-0.019060763999528316,0.0,429.98451990679547,429.0134140528072,430.3111651962222,430.2716310891789
0.3,0.00013009648243604596,0.0007277042386738921,10.092457599939653,0.005066133604116452,6.2803073074906095,0.0,0.0025650085901368046,0.008638855159425484,0.7592541271071308,0.030239940850451237,-0.03341994941225998,0.0,497.5854953054146,496.53333711907703,498.7872930138801,500.16731918917696
0.36000000000000004,0.0003542368536228627,0.0013625612434155366,10.141942362806244,0.0066233602203196185,6.27809808395277,0.0,0.005129491213844759,0.012704107750827372,0.8901429073270545,0.015595616361881691,-0.044675149731436985,0.0,447.7277606495338,446.8105849995102,447.73629739932784,446.54356841763376
0.4200000000000001,0.0008133277397367155,0.0023088888502692424,10.204787340520046,0.007480402562245025,6.275375177371785,0.0,0.010533207879041547,0.018958286826785374,1.2044097432758147,0.011522717915316281,-0.04683341058787099,0.0,501.77337350116886,501.61574685217755,500.6992898574092,500.40279607484666
0.48000000000000015,0.0015738266308670825,0.0035639819219585723,10.274844222419121,0.008242622950592526,6.27283444996791,0.0,0.015020625964666554,0.02293424378422042,1.1308936924311557,0.014966674299600373,-0.03461587904904869,0.0,379.0145811187132,380.18551057742434,379.04575281131997,379.37645620041206
0.5400000000000001,0.002678748033481085,0.005099746289867214,10.34403461053437,0.009125020031660824,6.271016493671954,0.0,0.021991162996673964,0.028340976639824985,1.175404776813474,0.014181388743241444,-0.022825876727158058,0.0,420.1660281947911,421.1864395139776,419.8585604564143,419.7903387763568
0.6000000000000002,0.004242077560233175,0.006982403059828515,10.416533627825816,0.009922459007738915,6.2692306528051915,0.0,0.03026606818382445,0.0344934987866277,1.2411569459509535,0.011446911982287384,-0.04961917941294965,0.0,428.6150985523248,426.3317056259701,427.2869781643145,427.05371315526713
0.6600000000000003,0.006365680196311414,0.009266080763910018,10.494656082104212,0.01045660828753725,6.267241442104286,0.0,0.04076750482208921,0.041692433770696695,1.3627828916786893,0.0032542239274340407,-0.012013219645271652,0.0,443.0251236998571,446.10540322523366,446.33073609343876,445.6615522958723
0.7200000000000003,0.009136767258614247,0.011980269726408413,10.579023462360487,0.010767172269389391,6.267079264300598,0.0,0.05163988306455285,0.04880488591103422,1.449355860933749,0.008766691246201198,0.011364104741269802,0.0,433.3940693473408,435.35435692990677,434.42550492922066,434.88735106553196
0.7800000000000004,0.012599085073680906,0.015155918072780135,10.6711033495874,0.0112037086947252,6.267821580994358,0.0,0.06368683185413582,0.05710183949590831,1.6197481698214071,0.004112859155296216,0.014315028942665248,0.0,460.2875638761267,460.5208903043602,461.3438669966342,460.97618570936123
0.8400000000000004,0.01672889726514124,0.018810755737609312,10.77094256719983,0.011723059205825948,6.268191988450219,0.0,0.07390007582626887,0.06476423434984377,1.708097987383526,0.016469554394762775,-0.019821232794663163,0.0,437.36267556414373,434.5104626821169,435.18723591081005,436.22012657351297
0.9000000000000005,0.021515708914300494,0.022972793074239196,10.878981855680935,0.012537226043210836,6.2672388298896,0.0,0.08577737672395051,0.07407086386618422,1.8929203658587404,0.007026243855972893,-0.008992918423293427,0.0,465.3332236325563,466.18013405860773,466.34998038938414,465.61171385600386
0.9600000000000005,0.027029652397510193,0.027705652816022594,10.99778836925372,0.012886399445060981,6.266568584488438,0.0,0.09808361907129937,0.08373086079970836,2.0669961142039783,0.0032897269244982637,-0.015927098868502913,0.0,463.60087835288886,463.0558762641144,463.34476437885456,463.0508377920646
1.0200000000000005,0.03327545693799318,0.03300716850931409,11.125639446606842,0.01317436241736214,6.265596010021854,0.0,0.1102079245254092,0.09300897951089515,2.194467583810039,0.0076597040570879375,-0.016780566708103174,0.0,450.29120079047584,450.22225131510515,448.94606085666607,449.30039096467135
1.0800000000000005,0.04019889151612685,0.038820008440079476,11.257154551377859,0.014002385930405481,6.264658364209961,0.0,0.12065711399962731,0.10080983525210191,2.1893759834593602,0.023887057817411586,-0.01341563122525325,0.0,407.2746403318565,407.57555254591557,406.11692112724563,407.5697170815584
1.1400000000000006,0.04777533213994048,0.04512613070124031,11.388922631509043,0.015425559762884511,6.264024030804755,0.0,0.1319538098809657,0.10952107691557388,2.202863400112307,0.02338249597767713,-0.0054184118973423494,0.0,412.9705566250893,413.67544955663067,413.5523995529562,413.5080639287319
